epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24100.4,0.6343,2.0578,0.88428,1,1,0.995,0.99497,0.13932,0.51274,0.77353,0.000499208,0.000166403,0.000499208,0.000166403,0.000499208,0.000166403,0.000499208,0.000166403
2,45867.1,0.15012,0.42072,0.78178,1,1,0.995,0.995,0.08976,0.38548,0.77027,0.000949747,0.000316582,0.000949747,0.000316582,0.000949747,0.000316582,0.000949747,0.000316582
3,66393.6,0.12655,0.34098,0.77944,1,1,0.995,0.995,0.05904,0.2661,0.76883,0.00135079,0.000450262,0.00135079,0.000450262,0.00135079,0.000450262,0.00135079,0.000450262
4,87115.7,0.11232,0.29286,0.77941,1,1,0.995,0.995,0.05932,0.24773,0.76669,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575,0.00127725,0.00042575
5,106627,0.09966,0.26405,0.77981,1,1,0.995,0.995,0.05009,0.21542,0.76594,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401,0.001203,0.000401
6,124668,0.0908,0.24294,0.77879,1,1,0.995,0.995,0.04423,0.20562,0.76685,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
7,142604,0.08393,0.22959,0.77782,1,1,0.995,0.995,0.03761,0.18014,0.76603,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515,0.0010545,0.0003515
